,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
11,2,4,0,2,1,1,0.01,0.01,0.01,0.6741190457720488,0.01660903570313153,1
36,3,1,2,2,1,1,0.01,0.01,0.01,0.6681537088399885,0.06254990247470807,2
21,3,2,-2,2,1,1,0.01,0.01,0.01,0.6660871281793741,0.07796858032326696,3
1,2,2,-2,2,1,1,0.01,0.01,0.01,0.6649057780661662,0.06249300648111898,4
33,3,2,1,2,1,1,0.01,0.01,0.01,0.6584544011404445,0.07668581897392546,5
22,3,3,-2,2,1,1,0.01,0.01,0.01,0.648533387760246,0.05149826513113203,6
29,3,2,0,2,1,1,0.01,0.01,0.01,0.6425075667197719,0.03046657083098157,7
0,2,1,-2,2,1,1,0.01,0.01,0.01,0.6349972459873042,0.05920917243280155,8
19,2,4,2,2,1,1,0.01,0.01,0.01,0.6349834570848865,0.06786407620756697,9
15,2,4,1,2,1,1,0.01,0.01,0.01,0.6288492169852006,0.06101162305984043,10
8,2,1,0,2,1,1,0.01,0.01,0.01,0.6279008708470698,0.06355508721658304,11
18,2,3,2,2,1,1,0.01,0.01,0.01,0.6270590094681109,0.06986858721117313,12
20,3,1,-2,2,1,1,0.01,0.01,0.01,0.6189036859048447,0.06936716941845282,13
12,2,1,1,2,1,1,0.01,0.01,0.01,0.617321855218558,0.05511631534576506,14
26,3,3,-1,2,1,1,0.01,0.01,0.01,0.6132549892398039,0.06872900476297991,15
38,3,3,2,2,1,1,0.01,0.01,0.01,0.6127527902945565,0.055237500058910545,16
37,3,2,2,2,1,1,0.01,0.01,0.01,0.6127004452698149,0.051873867897029725,17
14,2,3,1,2,1,1,0.01,0.01,0.01,0.6120971917007604,0.0829284135058413,18
13,2,2,1,2,1,1,0.01,0.01,0.01,0.6111876442408205,0.08674270258338658,19
24,3,1,-1,2,1,1,0.01,0.01,0.01,0.610694344989786,0.05840163339206908,20
2,2,3,-2,2,1,1,0.01,0.01,0.01,0.61064025523828,0.11172251992070077,21
6,2,3,-1,2,1,1,0.01,0.01,0.01,0.6101099299623571,0.03935177354927715,22
30,3,3,0,2,1,1,0.01,0.01,0.01,0.6088681506151653,0.06536859248557964,23
39,3,4,2,2,1,1,0.01,0.01,0.01,0.6080934831003564,0.0955478692771233,24
17,2,2,2,2,1,1,0.01,0.01,0.01,0.6077477145053226,0.07686956672832468,25
3,2,4,-2,2,1,1,0.01,0.01,0.01,0.6066597646081636,0.05706069353275144,26
32,3,1,1,2,1,1,0.01,0.01,0.01,0.6042290102814261,0.10443106780096006,27
28,3,1,0,2,1,1,0.01,0.01,0.01,0.6039637916834165,0.0686132696979431,28
9,2,2,0,2,1,1,0.01,0.01,0.01,0.6034828998444042,0.07782592109197911,29
25,3,2,-1,2,1,1,0.01,0.01,0.01,0.6007875849358787,0.06525844907768606,30
7,2,4,-1,2,1,1,0.01,0.01,0.01,0.5991929419769471,0.06836302059702003,31
5,2,2,-1,2,1,1,0.01,0.01,0.01,0.5958156641664508,0.06512358541423911,32
16,2,1,2,2,1,1,0.01,0.01,0.01,0.5955855738467792,0.09434263158936733,33
31,3,4,0,2,1,1,0.01,0.01,0.01,0.5949209206004584,0.0653326217253402,34
23,3,4,-2,2,1,1,0.01,0.01,0.01,0.5835021877064687,0.07577332010700362,35
27,3,4,-1,2,1,1,0.01,0.01,0.01,0.581510601643922,0.05718713916332487,36
4,2,1,-1,2,1,1,0.01,0.01,0.01,0.5793980517695296,0.07702978120005725,37
35,3,4,1,2,1,1,0.01,0.01,0.01,0.5672801330311008,0.08360949223957459,38
34,3,3,1,2,1,1,0.01,0.01,0.01,0.5382867885505133,0.03077425857386903,39
10,2,3,0,2,1,1,0.01,0.01,0.01,0.5184735020769683,0.020647489346118895,40
