,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
39,3,4,2,2,1,1,0.01,0.01,0.01,0.5499230864431526,0.0563182321377186,1
0,2,1,-2,2,1,1,0.01,0.01,0.01,0.549609687715554,0.0396510252120155,2
29,3,2,0,2,1,1,0.01,0.01,0.01,0.5480944746346238,0.022444564346372025,3
9,2,2,0,2,1,1,0.01,0.01,0.01,0.5454099863862918,0.024998274355111257,4
36,3,1,2,2,1,1,0.01,0.01,0.01,0.5414525709829824,0.0343781141621639,5
12,2,1,1,2,1,1,0.01,0.01,0.01,0.536232192049352,0.030011627391392164,6
19,2,4,2,2,1,1,0.01,0.01,0.01,0.535215625386753,0.040685383499512486,7
16,2,1,2,2,1,1,0.01,0.01,0.01,0.5340979923025861,0.023091758366390477,8
24,3,1,-1,2,1,1,0.01,0.01,0.01,0.5309687217913667,0.022790648713711534,9
21,3,2,-2,2,1,1,0.01,0.01,0.01,0.530011365672165,0.0309153418125629,10
17,2,2,2,2,1,1,0.01,0.01,0.01,0.5267319224581182,0.0438933972877084,11
20,3,1,-2,2,1,1,0.01,0.01,0.01,0.526541735146302,0.011993416949513174,12
35,3,4,1,2,1,1,0.01,0.01,0.01,0.525940838787904,0.03336169855549785,13
1,2,2,-2,2,1,1,0.01,0.01,0.01,0.5231256528824625,0.026262576694093237,14
26,3,3,-1,2,1,1,0.01,0.01,0.01,0.5229531361292931,0.0421929294606472,15
14,2,3,1,2,1,1,0.01,0.01,0.01,0.5227597617557789,0.03335635153173084,16
15,2,4,1,2,1,1,0.01,0.01,0.01,0.5222381611368009,0.036628255769559234,17
22,3,3,-2,2,1,1,0.01,0.01,0.01,0.5213555203024268,0.020683903487609297,18
2,2,3,-2,2,1,1,0.01,0.01,0.01,0.5187759476153508,0.03462577364413893,19
7,2,4,-1,2,1,1,0.01,0.01,0.01,0.5174468671594604,0.011059404552607713,20
34,3,3,1,2,1,1,0.01,0.01,0.01,0.5162125201111599,0.02835061760374345,21
28,3,1,0,2,1,1,0.01,0.01,0.01,0.5153988543887117,0.018727321675449937,22
10,2,3,0,2,1,1,0.01,0.01,0.01,0.5139066279632317,0.019426856051619805,23
11,2,4,0,2,1,1,0.01,0.01,0.01,0.5131499983123502,0.015333951326315353,24
30,3,3,0,2,1,1,0.01,0.01,0.01,0.5131386348038388,0.02632095181131005,25
31,3,4,0,2,1,1,0.01,0.01,0.01,0.5128114557666993,0.009556730188780874,26
3,2,4,-2,2,1,1,0.01,0.01,0.01,0.5118526456723034,0.02211943021633248,27
13,2,2,1,2,1,1,0.01,0.01,0.01,0.5110494368875238,0.019339213084512148,28
5,2,2,-1,2,1,1,0.01,0.01,0.01,0.5107874011318504,0.01477255969847937,29
33,3,2,1,2,1,1,0.01,0.01,0.01,0.5105786561634268,0.037725508575195146,30
23,3,4,-2,2,1,1,0.01,0.01,0.01,0.5074592995128318,0.009114154233643885,31
38,3,3,2,2,1,1,0.01,0.01,0.01,0.5069238796385486,0.03618023865271507,32
37,3,2,2,2,1,1,0.01,0.01,0.01,0.5067617376042124,0.015728373831401243,33
18,2,3,2,2,1,1,0.01,0.01,0.01,0.5065022895782001,0.03608515713520928,34
6,2,3,-1,2,1,1,0.01,0.01,0.01,0.5057474038320902,0.013315055603370738,35
32,3,1,1,2,1,1,0.01,0.01,0.01,0.5053043395101315,0.031966691004078986,36
25,3,2,-1,2,1,1,0.01,0.01,0.01,0.5013352122500871,0.014914146630368306,37
8,2,1,0,2,1,1,0.01,0.01,0.01,0.5006055287406758,0.036486911136385546,38
27,3,4,-1,2,1,1,0.01,0.01,0.01,0.5000913581080321,0.03384676735601569,39
4,2,1,-1,2,1,1,0.01,0.01,0.01,0.4810321168407542,0.057388780714965865,40
