,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
12,2,4,1,2,1.092446052105199,1.221959992154771,0.0013445428267258297,0.094602799069999,0.09497027939422635,0.6561444451534557,0.017376277409990742,1
49,2,4,1,2,1.6363053091691047,1.5003757079383049,0.00168677801442201,0.09903903510737401,0.003327819186433681,0.6467976374277755,0.012730081173783383,2
21,2,4,1,3,1.394549718808142,1.4361298294686018,0.0017635812344324437,0.04066334615626517,0.015616938132831595,0.6366289792951597,0.017578071536777377,3
31,2,4,1,3,1.3733082804376089,1.2762140510391864,0.0037298320573650994,0.05167884877130022,0.04003350987934286,0.6110298625765029,0.02778754212162897,4
4,2,4,1,3,1.7524734726898576,1.4129886805179925,0.0010897514496413896,0.01115513606504822,0.003956860158727779,0.6102346411657319,0.022134575382723034,5
10,2,4,1,2,1.9326152878803908,1.2427691534475165,0.0010381254156408013,0.006411303900416301,0.0032944950391094966,0.6066585083918816,0.014658099876948442,6
23,2,4,1,3,1.138102434485361,1.7262849802515445,0.0017572010193449247,0.008324759508879516,0.010210804864727351,0.6051867137156762,0.04243837763672738,7
35,2,4,1,2,1.4328513749166418,1.0379770783719782,0.024870902090759973,0.0618127095641753,0.0717281249060105,0.5864275968698864,0.011403827093752324,8
25,2,4,1,5,1.664235233282756,1.2539298550368883,0.004903592165867939,0.011549664189931433,0.02621735454887417,0.5805941003417191,0.046763775081167636,9
18,2,4,1,5,1.4489088131338845,1.84767185209956,0.010451635866105768,0.03539976099736961,0.0011237599058936214,0.5731826503476722,0.05203700284850499,10
34,2,4,1,4,1.2437540791439428,1.6308593641009193,0.07254221097960864,0.06527796652101683,0.0023023050131535817,0.5715034231797297,0.044730842139677804,11
29,2,4,1,5,1.1148564700131094,1.5793228658072813,0.008303602153101884,0.0364362139913329,0.02163881322651029,0.5712974796116476,0.058602156855026934,12
27,2,4,1,4,1.972092728906004,1.1031002905622904,0.032112334234232785,0.02348682643679382,0.003464244955335397,0.5678014587540032,0.05552680268229122,13
41,2,4,1,5,1.4765296780531572,1.7083886982368504,0.016661967031355283,0.0379946147980322,0.003013354859505323,0.567020186039666,0.04584080457201408,14
13,2,4,1,5,1.1744879587606074,1.7767990427497373,0.04237285049869069,0.08724188451735622,0.0015690464534622623,0.5619351650761588,0.037722187526580825,15
24,2,4,1,4,1.1583645012309316,1.4256675005482553,0.0014017447701345114,0.0027238224314904635,0.015855791315762993,0.5613549034118844,0.03797338253808128,16
33,2,4,1,5,1.5666096628145487,1.0743713502372232,0.004783746650327365,0.0021983657523302535,0.01638857649396361,0.5609972390123424,0.056428161254728645,17
42,2,4,1,4,1.34950526089819,1.8627047546840025,0.01232178697867336,0.02524781502800944,0.062455032865774134,0.559196692193517,0.05956482713840663,18
0,2,4,1,2,1.4990578108519879,1.053253654293627,0.00168564990285484,0.0012587747894812966,0.0010440402154762761,0.5576999466774631,0.037190002408435965,19
43,2,4,1,4,1.4712892832655642,1.431718192932737,0.00456189112771823,0.001625233590761532,0.006428668024138077,0.5498615120080836,0.060789075145386375,20
36,2,4,1,4,1.0955483251386,1.0428650492346472,0.021284157169088495,0.004358771437522686,0.06800071507962595,0.547841777535247,0.0681135735163963,21
1,2,4,1,4,1.455997181292266,1.83135342077619,0.07048763739937554,0.007613514715885499,0.0014389599373507006,0.5458513931949099,0.038667396273242026,22
3,2,4,1,5,1.8251733703727249,1.2924994740953817,0.001750381969694927,0.014764963056700853,0.004238513121957955,0.5444042002316267,0.02274978981430582,23
26,2,4,1,4,1.4675362344267553,1.39509190061951,0.004533291238749022,0.0010191773806932833,0.008202913092385028,0.5419791954091275,0.03834215036706819,24
20,2,4,1,2,1.748155979652561,1.6293857786885453,0.0021450646226219283,0.003601342541622217,0.0025729367625562955,0.5415596323703248,0.028488125333610143,25
11,2,4,1,3,1.1665107585278682,1.603225200773697,0.05650743337202148,0.009542905120742892,0.024586303181506102,0.5398121061472988,0.063750695030467,26
46,2,4,1,3,1.6499845992922144,1.4771384625080919,0.01795140225462128,0.03669717205079638,0.005328238883507852,0.5385841851859186,0.02341635563793553,27
39,2,4,1,4,1.4079646105179457,1.039216163396887,0.009404522660573306,0.003937893274047298,0.012371243655023468,0.5376662062983182,0.05114649106491544,28
6,2,4,1,4,1.7942696863674978,1.3761318651785137,0.005197149437687764,0.031327656320090706,0.0011902551995744838,0.53304395014135,0.07716432957421267,29
30,2,4,1,4,1.0802589116076757,1.617287359513611,0.003965208437044609,0.005397828080722015,0.007117455671040481,0.5314077049476518,0.018656410934286504,30
48,2,4,1,3,1.7094749072152289,1.1251871075460664,0.02264590077558475,0.006303829725562583,0.0585247748005107,0.5293696410667148,0.025995070448814574,31
8,2,4,1,4,1.6685187378675947,1.7385189376647119,0.022224359779553345,0.013938026321125273,0.009561154829307649,0.5274036569823063,0.045107210542077024,32
44,2,4,1,3,1.824387500465734,1.3449786958580447,0.006921908145424947,0.040303731355920684,0.003289262000731134,0.5259345736629697,0.018947258388790553,33
37,2,4,1,2,1.5731644369985887,1.2248663015726233,0.011153291568861691,0.009995308359160054,0.011331305602728237,0.5258546204185953,0.032622449874421276,34
22,2,4,1,3,1.9052441716549025,1.7812308804892836,0.013171372222194971,0.00165219902500713,0.0034037650047026597,0.5257125272266437,0.04520544905124091,35
45,2,4,1,4,1.3252151004510007,1.1808977295101135,0.02567720381386744,0.016587798942960703,0.007731771813832848,0.5254861746470774,0.05365653632123611,36
5,2,4,1,3,1.935564104282712,1.97590862694756,0.010731493719785217,0.0010165354691864914,0.013759289278223646,0.5254097535012321,0.047177591335866825,37
19,2,4,1,2,1.2905211198552018,1.7712856213032948,0.02621264444230953,0.04588237119222022,0.006396105779538666,0.5252583659050662,0.03934020151701254,38
16,2,4,1,2,1.1306377016609184,1.289447526767705,0.008032674680392338,0.0024476503754580865,0.01785725241227625,0.5231389874781275,0.05158313108624346,39
7,2,4,1,2,1.5639975002511275,1.3637036253979742,0.013327350968259537,0.01387779898677436,0.049157847360083176,0.5230979161669971,0.025406150419308132,40
2,2,4,1,4,1.8335795840581404,1.4121082152389697,0.08205190552892956,0.005446140912512392,0.04519976091865534,0.5219532463303166,0.029213634261476336,41
28,2,4,1,2,1.9377429771446821,1.4194044687137697,0.04420292928735158,0.0691230237437664,0.01810694856940146,0.5183204867826853,0.014681909307103164,42
17,2,4,1,2,1.845785847800855,1.0744614365555454,0.019605766010543,0.004871534256137817,0.0911198188237353,0.5157502573833133,0.013206662165292893,43
38,2,4,1,5,1.237487029239874,1.1083618909716604,0.098844323918773,0.0026606182617909604,0.02298469726800922,0.5152530571221037,0.02416994307804669,44
40,2,4,1,2,1.3058171650374013,1.3738085071979742,0.02733293562856972,0.014042571271956078,0.09504163405158954,0.5117839945841319,0.03581281705979257,45
9,2,4,1,4,1.9018496184214533,1.2052238453808366,0.09979973778155535,0.06548734817421784,0.0036499334589685747,0.5112451313541161,0.014257980530535454,46
32,2,4,1,3,1.7938813405123657,1.545517224577245,0.04519230207507116,0.07481218366796343,0.004890731371826987,0.5063399053787795,0.01198713053728585,47
47,2,4,1,5,1.3786225463362687,1.3472706011464048,0.04384966593397554,0.026987436512573636,0.04060768664455192,0.5038203971783307,0.013392840277793593,48
15,2,4,1,4,1.3688408285992637,1.8714382738423947,0.01654588969012896,0.008326444807422298,0.0013518110335899905,0.4970520485169073,0.021359170698455995,49
14,2,4,1,5,1.9661620512072584,1.1815581422915882,0.004410908747831637,0.0038577729604752334,0.0015583296315782784,0.4916913194772974,0.01247447099667035,50
