,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
14,2,3,1,2,1,1,0.01,0.01,0.01,0.5943874528743105,0.03451968332766552,1
10,2,3,0,2,1,1,0.01,0.01,0.01,0.5881562503714842,0.013238862115249328,2
7,2,4,-1,2,1,1,0.01,0.01,0.01,0.5859285699737193,0.01720151581926787,3
37,3,2,2,2,1,1,0.01,0.01,0.01,0.5839348944103853,0.034981810721315496,4
11,2,4,0,2,1,1,0.01,0.01,0.01,0.5703824173972516,0.03568224981883704,5
15,2,4,1,2,1,1,0.01,0.01,0.01,0.5679362673605758,0.05496356586431187,6
33,3,2,1,2,1,1,0.01,0.01,0.01,0.5672559827412691,0.034502309283673024,7
39,3,4,2,2,1,1,0.01,0.01,0.01,0.5627992002409453,0.044105406168834155,8
31,3,4,0,2,1,1,0.01,0.01,0.01,0.5609559459102936,0.04579864293462437,9
2,2,3,-2,2,1,1,0.01,0.01,0.01,0.5602324580617788,0.04500165092773281,10
29,3,2,0,2,1,1,0.01,0.01,0.01,0.5601436522194904,0.042925653843456014,11
28,3,1,0,2,1,1,0.01,0.01,0.01,0.5590078203822012,0.04788679476728288,12
12,2,1,1,2,1,1,0.01,0.01,0.01,0.5577483224626463,0.047444945624988875,13
1,2,2,-2,2,1,1,0.01,0.01,0.01,0.5565795569492739,0.04422141483620259,14
23,3,4,-2,2,1,1,0.01,0.01,0.01,0.556470618154494,0.031184364907523885,15
13,2,2,1,2,1,1,0.01,0.01,0.01,0.5531913759932489,0.04498678873160801,16
9,2,2,0,2,1,1,0.01,0.01,0.01,0.5525691217723899,0.04246491569037519,17
8,2,1,0,2,1,1,0.01,0.01,0.01,0.550273949985384,0.0467204615572236,18
38,3,3,2,2,1,1,0.01,0.01,0.01,0.5489852637483776,0.04531799236284687,19
26,3,3,-1,2,1,1,0.01,0.01,0.01,0.5479715341126092,0.02749946221491455,20
17,2,2,2,2,1,1,0.01,0.01,0.01,0.546766901205313,0.041950769841150086,21
0,2,1,-2,2,1,1,0.01,0.01,0.01,0.5463552424001786,0.027753424195978486,22
16,2,1,2,2,1,1,0.01,0.01,0.01,0.5449826865828167,0.044624247877188064,23
19,2,4,2,2,1,1,0.01,0.01,0.01,0.5419008188776978,0.041516822157403946,24
22,3,3,-2,2,1,1,0.01,0.01,0.01,0.5417662849593747,0.035772417616092775,25
25,3,2,-1,2,1,1,0.01,0.01,0.01,0.5415674101700775,0.040373527482659,26
5,2,2,-1,2,1,1,0.01,0.01,0.01,0.539616282810044,0.04934447406693392,27
21,3,2,-2,2,1,1,0.01,0.01,0.01,0.5391316508963842,0.0443103412275226,28
32,3,1,1,2,1,1,0.01,0.01,0.01,0.5366811566130719,0.04926116455651397,29
6,2,3,-1,2,1,1,0.01,0.01,0.01,0.5339324782565431,0.035152533315610066,30
18,2,3,2,2,1,1,0.01,0.01,0.01,0.5329746756613165,0.03881028694989925,31
20,3,1,-2,2,1,1,0.01,0.01,0.01,0.5318592687648522,0.023070413502653677,32
35,3,4,1,2,1,1,0.01,0.01,0.01,0.5303889435966007,0.023653882004175855,33
4,2,1,-1,2,1,1,0.01,0.01,0.01,0.5300258195232801,0.022869169163898872,34
36,3,1,2,2,1,1,0.01,0.01,0.01,0.5247128335936225,0.04909161156244471,35
27,3,4,-1,2,1,1,0.01,0.01,0.01,0.5211732187699742,0.011878036492185013,36
34,3,3,1,2,1,1,0.01,0.01,0.01,0.5186755957547226,0.02733478393596279,37
24,3,1,-1,2,1,1,0.01,0.01,0.01,0.5178392507430264,0.038038747511911254,38
30,3,3,0,2,1,1,0.01,0.01,0.01,0.5155518871553407,0.028799057538567013,39
3,2,4,-2,2,1,1,0.01,0.01,0.01,0.5148216721893446,0.01169224775775269,40
