,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
36,3,1,2,2,1,1,0.01,0.01,0.01,0.5968491346668179,0.04482384199002891,1
10,2,3,0,2,1,1,0.01,0.01,0.01,0.58785651769597,0.05245173434689598,2
29,3,2,0,2,1,1,0.01,0.01,0.01,0.5811405973921131,0.06209069885826333,3
21,3,2,-2,2,1,1,0.01,0.01,0.01,0.5773284138241246,0.01614258942255844,4
24,3,1,-1,2,1,1,0.01,0.01,0.01,0.5759269877568824,0.047010520216372066,5
4,2,1,-1,2,1,1,0.01,0.01,0.01,0.5746689667234506,0.031403456526593224,6
39,3,4,2,2,1,1,0.01,0.01,0.01,0.5728438506269348,0.07080180386155793,7
33,3,2,1,2,1,1,0.01,0.01,0.01,0.571673788542801,0.0568705279658703,8
28,3,1,0,2,1,1,0.01,0.01,0.01,0.5675035870974817,0.0403769334564822,9
12,2,1,1,2,1,1,0.01,0.01,0.01,0.5622371886426725,0.0536568954427276,10
1,2,2,-2,2,1,1,0.01,0.01,0.01,0.5617556734547794,0.03772568543091688,11
31,3,4,0,2,1,1,0.01,0.01,0.01,0.5596166877791593,0.04695231384354714,12
5,2,2,-1,2,1,1,0.01,0.01,0.01,0.5593960733640434,0.03263764560982496,13
14,2,3,1,2,1,1,0.01,0.01,0.01,0.5582902713108101,0.05859523110319493,14
19,2,4,2,2,1,1,0.01,0.01,0.01,0.5578796881069997,0.05806031209353334,15
35,3,4,1,2,1,1,0.01,0.01,0.01,0.5499136462426323,0.04671445206590814,16
37,3,2,2,2,1,1,0.01,0.01,0.01,0.548402297987449,0.06148067208848246,17
9,2,2,0,2,1,1,0.01,0.01,0.01,0.5475233404254659,0.053387169990615276,18
30,3,3,0,2,1,1,0.01,0.01,0.01,0.5469050986985109,0.034719709702672866,19
38,3,3,2,2,1,1,0.01,0.01,0.01,0.5439717646921961,0.055185304558119534,20
13,2,2,1,2,1,1,0.01,0.01,0.01,0.54293219268153,0.022183715320892538,21
3,2,4,-2,2,1,1,0.01,0.01,0.01,0.5406553202222903,0.0369194323913778,22
6,2,3,-1,2,1,1,0.01,0.01,0.01,0.5396643332812181,0.03455364052900991,23
16,2,1,2,2,1,1,0.01,0.01,0.01,0.5392294916224174,0.05123374240323858,24
23,3,4,-2,2,1,1,0.01,0.01,0.01,0.5383127045997588,0.02833118724331628,25
17,2,2,2,2,1,1,0.01,0.01,0.01,0.533612876319378,0.046898306444695774,26
7,2,4,-1,2,1,1,0.01,0.01,0.01,0.5329651983146124,0.0447213450967036,27
0,2,1,-2,2,1,1,0.01,0.01,0.01,0.532865860727125,0.034376027905744046,28
8,2,1,0,2,1,1,0.01,0.01,0.01,0.5300266097928172,0.053553188939238286,29
18,2,3,2,2,1,1,0.01,0.01,0.01,0.5299582729499439,0.04791847777889986,30
20,3,1,-2,2,1,1,0.01,0.01,0.01,0.5285581263259963,0.027728568519956736,31
27,3,4,-1,2,1,1,0.01,0.01,0.01,0.5239226346885901,0.037273216766151716,32
34,3,3,1,2,1,1,0.01,0.01,0.01,0.5233050370701811,0.026381008257234963,33
25,3,2,-1,2,1,1,0.01,0.01,0.01,0.5213433499161659,0.03804140746801934,34
32,3,1,1,2,1,1,0.01,0.01,0.01,0.5184571773809459,0.018237572781478716,35
26,3,3,-1,2,1,1,0.01,0.01,0.01,0.515456850465989,0.02897451142246232,36
2,2,3,-2,2,1,1,0.01,0.01,0.01,0.5148871961113721,0.011103780734584722,37
11,2,4,0,2,1,1,0.01,0.01,0.01,0.513516043539653,0.016867015150867297,38
22,3,3,-2,2,1,1,0.01,0.01,0.01,0.5120449119795893,0.007807337866864302,39
15,2,4,1,2,1,1,0.01,0.01,0.01,0.5100563124409023,0.00994156246304718,40
