,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
15,2,4,1,2,1,1,0.01,0.01,0.01,0.5722842387040448,0.05859293716228346,1
2,2,3,-2,2,1,1,0.01,0.01,0.01,0.5696920284885616,0.036121875609055026,2
13,2,2,1,2,1,1,0.01,0.01,0.01,0.565301244950434,0.07453925693902891,3
28,3,1,0,2,1,1,0.01,0.01,0.01,0.563684341584024,0.04971612522108233,4
0,2,1,-2,2,1,1,0.01,0.01,0.01,0.5602388311778169,0.04741891909678803,5
8,2,1,0,2,1,1,0.01,0.01,0.01,0.5599539286925368,0.05384214867297742,6
22,3,3,-2,2,1,1,0.01,0.01,0.01,0.55826181683403,0.038437833038188235,7
37,3,2,2,2,1,1,0.01,0.01,0.01,0.5565874979799291,0.042458134356288216,8
32,3,1,1,2,1,1,0.01,0.01,0.01,0.5526378441363424,0.06077066743313958,9
29,3,2,0,2,1,1,0.01,0.01,0.01,0.5519411848262789,0.03923747455997484,10
30,3,3,0,2,1,1,0.01,0.01,0.01,0.5498584649710541,0.05033211920454097,11
18,2,3,2,2,1,1,0.01,0.01,0.01,0.5491142835697886,0.054283624902938366,12
9,2,2,0,2,1,1,0.01,0.01,0.01,0.5474139889878326,0.06136585258785107,13
3,2,4,-2,2,1,1,0.01,0.01,0.01,0.546929478561333,0.037603900729187276,14
31,3,4,0,2,1,1,0.01,0.01,0.01,0.5467706145636292,0.055173856402066665,15
39,3,4,2,2,1,1,0.01,0.01,0.01,0.5457548688903706,0.04495253964121799,16
34,3,3,1,2,1,1,0.01,0.01,0.01,0.5446574121137754,0.04378896755383677,17
19,2,4,2,2,1,1,0.01,0.01,0.01,0.5427879266628087,0.04052026606962057,18
11,2,4,0,2,1,1,0.01,0.01,0.01,0.5424506157762831,0.04257258616831163,19
24,3,1,-1,2,1,1,0.01,0.01,0.01,0.5408793683345301,0.026226093069558296,20
36,3,1,2,2,1,1,0.01,0.01,0.01,0.5379862395582812,0.04516906766441513,21
16,2,1,2,2,1,1,0.01,0.01,0.01,0.5346447477056764,0.0364259429919673,22
1,2,2,-2,2,1,1,0.01,0.01,0.01,0.5340723267280376,0.04281078644898661,23
10,2,3,0,2,1,1,0.01,0.01,0.01,0.5328068853795276,0.04592811282684055,24
20,3,1,-2,2,1,1,0.01,0.01,0.01,0.532566265292945,0.027508189925818355,25
38,3,3,2,2,1,1,0.01,0.01,0.01,0.5324397395434896,0.05199150415529799,26
5,2,2,-1,2,1,1,0.01,0.01,0.01,0.5319553963458536,0.03602890878447683,27
33,3,2,1,2,1,1,0.01,0.01,0.01,0.5315693223539272,0.030028068925310295,28
26,3,3,-1,2,1,1,0.01,0.01,0.01,0.5278634102023787,0.028326880246509038,29
12,2,1,1,2,1,1,0.01,0.01,0.01,0.5277026920179757,0.023254761058679876,30
35,3,4,1,2,1,1,0.01,0.01,0.01,0.5270893806493222,0.03222504741691033,31
17,2,2,2,2,1,1,0.01,0.01,0.01,0.5262007963907902,0.015567729238571667,32
27,3,4,-1,2,1,1,0.01,0.01,0.01,0.5247626000469904,0.015166645919958397,33
4,2,1,-1,2,1,1,0.01,0.01,0.01,0.5227198430004575,0.026689234971811426,34
21,3,2,-2,2,1,1,0.01,0.01,0.01,0.5223428876268489,0.04657334478033385,35
7,2,4,-1,2,1,1,0.01,0.01,0.01,0.5222335798492154,0.023384502066542356,36
6,2,3,-1,2,1,1,0.01,0.01,0.01,0.5192223840723799,0.015375537121991911,37
23,3,4,-2,2,1,1,0.01,0.01,0.01,0.5183199337538993,0.014709933980606098,38
25,3,2,-1,2,1,1,0.01,0.01,0.01,0.5151140236804872,0.02277957447707685,39
14,2,3,1,2,1,1,0.01,0.01,0.01,0.5149014613700102,0.021175087399833845,40
