,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
49,3,1,2,2,1.6363053091691047,1.5003757079383049,0.00168677801442201,0.09903903510737401,0.003327819186433681,0.718659605644987,0.015258292545199831,1
21,3,1,2,3,1.394549718808142,1.4361298294686018,0.0017635812344324437,0.04066334615626517,0.015616938132831595,0.7113114720569346,0.014081945421375261,2
12,3,1,2,2,1.092446052105199,1.221959992154771,0.0013445428267258297,0.094602799069999,0.09497027939422635,0.7086562111767825,0.021489710021082027,3
31,3,1,2,3,1.3733082804376089,1.2762140510391864,0.0037298320573650994,0.05167884877130022,0.04003350987934286,0.6838445283751671,0.01265879489721423,4
13,3,1,2,5,1.1744879587606074,1.7767990427497373,0.04237285049869069,0.08724188451735622,0.0015690464534622623,0.6332627878677666,0.05489772549340645,5
10,3,1,2,2,1.9326152878803908,1.2427691534475165,0.0010381254156408013,0.006411303900416301,0.0032944950391094966,0.6307583290156418,0.011317985257813308,6
4,3,1,2,3,1.7524734726898576,1.4129886805179925,0.0010897514496413896,0.01115513606504822,0.003956860158727779,0.6269580524245842,0.013227130780919414,7
41,3,1,2,5,1.4765296780531572,1.7083886982368504,0.016661967031355283,0.0379946147980322,0.003013354859505323,0.6073176740890307,0.05201830893350655,8
0,3,1,2,2,1.4990578108519879,1.053253654293627,0.00168564990285484,0.0012587747894812966,0.0010440402154762761,0.5978266040347321,0.02224687179472567,9
24,3,1,2,4,1.1583645012309316,1.4256675005482553,0.0014017447701345114,0.0027238224314904635,0.015855791315762993,0.5934903185765524,0.05937734452616594,10
35,3,1,2,2,1.4328513749166418,1.0379770783719782,0.024870902090759973,0.0618127095641753,0.0717281249060105,0.5875604830642112,0.06313462086819491,11
34,3,1,2,4,1.2437540791439428,1.6308593641009193,0.07254221097960864,0.06527796652101683,0.0023023050131535817,0.5866489422758173,0.06863391089063209,12
23,3,1,2,3,1.138102434485361,1.7262849802515445,0.0017572010193449247,0.008324759508879516,0.010210804864727351,0.584846406884769,0.05054477550792137,13
43,3,1,2,4,1.4712892832655642,1.431718192932737,0.00456189112771823,0.001625233590761532,0.006428668024138077,0.5811845313991507,0.041611793712528676,14
45,3,1,2,4,1.3252151004510007,1.1808977295101135,0.02567720381386744,0.016587798942960703,0.007731771813832848,0.5775231466468316,0.0458936489923941,15
29,3,1,2,5,1.1148564700131094,1.5793228658072813,0.008303602153101884,0.0364362139913329,0.02163881322651029,0.5701214265368181,0.05977154833356967,16
18,3,1,2,5,1.4489088131338845,1.84767185209956,0.010451635866105768,0.03539976099736961,0.0011237599058936214,0.5697678532779138,0.0465923744537298,17
44,3,1,2,3,1.824387500465734,1.3449786958580447,0.006921908145424947,0.040303731355920684,0.003289262000731134,0.5666032656519834,0.06482305584602897,18
25,3,1,2,5,1.664235233282756,1.2539298550368883,0.004903592165867939,0.011549664189931433,0.02621735454887417,0.5627263490819503,0.045128095883801206,19
30,3,1,2,4,1.0802589116076757,1.617287359513611,0.003965208437044609,0.005397828080722015,0.007117455671040481,0.5588368459817088,0.0438804509533958,20
32,3,1,2,3,1.7938813405123657,1.545517224577245,0.04519230207507116,0.07481218366796343,0.004890731371826987,0.554568728666726,0.06038776661379986,21
20,3,1,2,2,1.748155979652561,1.6293857786885453,0.0021450646226219283,0.003601342541622217,0.0025729367625562955,0.5534110319939657,0.04142155667541303,22
