,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
49,3,4,2,2,1.6363053091691047,1.5003757079383049,0.00168677801442201,0.09903903510737401,0.003327819186433681,0.6043140093106341,0.04036270145075009,1
12,3,4,2,2,1.092446052105199,1.221959992154771,0.0013445428267258297,0.094602799069999,0.09497027939422635,0.5886353923526098,0.04656278178433532,2
21,3,4,2,3,1.394549718808142,1.4361298294686018,0.0017635812344324437,0.04066334615626517,0.015616938132831595,0.5871168234450039,0.032247811579574015,3
31,3,4,2,3,1.3733082804376089,1.2762140510391864,0.0037298320573650994,0.05167884877130022,0.04003350987934286,0.5863751186763979,0.03579785680961014,4
13,3,4,2,5,1.1744879587606074,1.7767990427497373,0.04237285049869069,0.08724188451735622,0.0015690464534622623,0.5589955671065808,0.046192748879882714,5
45,3,4,2,4,1.3252151004510007,1.1808977295101135,0.02567720381386744,0.016587798942960703,0.007731771813832848,0.5588672494683903,0.04131413928126264,6
14,3,4,2,5,1.9661620512072584,1.1815581422915882,0.004410908747831637,0.0038577729604752334,0.0015583296315782784,0.5571195193573428,0.04854480835572338,7
3,3,4,2,5,1.8251733703727249,1.2924994740953817,0.001750381969694927,0.014764963056700853,0.004238513121957955,0.5537219622953076,0.024537424522034074,8
47,3,4,2,5,1.3786225463362687,1.3472706011464048,0.04384966593397554,0.026987436512573636,0.04060768664455192,0.5534591670972336,0.039654963707275045,9
24,3,4,2,4,1.1583645012309316,1.4256675005482553,0.0014017447701345114,0.0027238224314904635,0.015855791315762993,0.5524414320617109,0.035399796722864404,10
0,3,4,2,2,1.4990578108519879,1.053253654293627,0.00168564990285484,0.0012587747894812966,0.0010440402154762761,0.551340279526731,0.025159572336609076,11
20,3,4,2,2,1.748155979652561,1.6293857786885453,0.0021450646226219283,0.003601342541622217,0.0025729367625562955,0.5469953862251428,0.04053651759304609,12
4,3,4,2,3,1.7524734726898576,1.4129886805179925,0.0010897514496413896,0.01115513606504822,0.003956860158727779,0.5446635042706194,0.047648883124932616,13
10,3,4,2,2,1.9326152878803908,1.2427691534475165,0.0010381254156408013,0.006411303900416301,0.0032944950391094966,0.5442847999875373,0.009425403639303137,14
9,3,4,2,4,1.9018496184214533,1.2052238453808366,0.09979973778155535,0.06548734817421784,0.0036499334589685747,0.5419110946096466,0.06039876812658433,15
41,3,4,2,5,1.4765296780531572,1.7083886982368504,0.016661967031355283,0.0379946147980322,0.003013354859505323,0.5411809156235693,0.05108111363917184,16
23,3,4,2,3,1.138102434485361,1.7262849802515445,0.0017572010193449247,0.008324759508879516,0.010210804864727351,0.5398197546763044,0.06025882650240647,17
34,3,4,2,4,1.2437540791439428,1.6308593641009193,0.07254221097960864,0.06527796652101683,0.0023023050131535817,0.5375584424463824,0.026721022388982985,18
19,3,4,2,2,1.2905211198552018,1.7712856213032948,0.02621264444230953,0.04588237119222022,0.006396105779538666,0.5361655471923134,0.021587787616669574,19
44,3,4,2,3,1.824387500465734,1.3449786958580447,0.006921908145424947,0.040303731355920684,0.003289262000731134,0.5325503417274438,0.03055065157267912,20
5,3,4,2,3,1.935564104282712,1.97590862694756,0.010731493719785217,0.0010165354691864914,0.013759289278223646,0.5298720198917655,0.03366741957530477,21
29,3,4,2,5,1.1148564700131094,1.5793228658072813,0.008303602153101884,0.0364362139913329,0.02163881322651029,0.5294054972378799,0.026337706459168473,22
16,3,4,2,2,1.1306377016609184,1.289447526767705,0.008032674680392338,0.0024476503754580865,0.01785725241227625,0.5291700116750746,0.03398397814215637,23
